arrival_time_s,input_len,output_len
162.7466,512,32
162.7900,512,32
162.9946,512,128
163.1629,512,128
163.2926,128,32
163.6443,4096,32
163.7465,2048,32
163.9197,1024,32
164.1452,1024,32
164.2958,512,32
164.4132,512,32
164.6460,2048,512
164.7448,128,128
165.0483,512,32
165.1488,512,32
165.2428,3072,32
165.5419,512,32
165.6444,3072,512
165.7464,4096,32
165.9949,128,32
166.0414,3072,512
166.1658,5120,512
166.4142,512,32
166.6592,2048,512
166.7493,1024,32
166.9100,512,32
166.9971,3072,128
167.1620,6144,32
167.2501,2048,32
167.4991,512,128
167.7920,2048,512
167.9081,1024,32
168.0073,2048,32
168.1519,3072,512
168.4034,128,32
168.4243,1024,32
168.5088,128,128
168.6583,512,128
168.7935,128,128
168.9247,128,32
169.2492,1024,32
169.2532,128,32
169.4108,5120,512
169.4263,2048,32
169.6486,4096,32
169.7621,512,32
169.9258,512,32
170.1521,2048,128
170.1719,512,32
170.4196,3072,32
170.6733,512,32
170.8303,7168,32
170.9192,512,128
171.4216,512,32
171.5000,512,32
171.6693,512,32
171.7976,512,128
171.9128,1024,32
172.0447,3072,512
172.2479,128,32
172.4080,512,32
172.4951,512,32
172.6501,2048,512
172.9046,2048,32
173.1591,512,32
173.4372,3072,32
173.6533,1024,128
173.6692,5120,32
173.7492,512,32
173.8947,1024,32
174.0026,3072,128
174.1696,512,32
174.2924,1024,32
174.5374,7168,512
174.7494,512,32
174.9274,512,128
175.4145,4096,32
175.5081,1024,32
175.6489,512,32
175.6755,128,32
175.8923,2048,32
175.9028,512,32
176.2714,4096,32
176.4020,512,32
176.5096,6144,32
176.7545,2048,512
176.8979,2048,32
177.0023,2048,32
177.1479,2048,128
177.2501,2048,32
177.3999,2048,128
177.7850,1024,512
177.8983,2048,128
178.0378,2048,32
178.2637,1024,32
178.2861,4096,512
178.5006,32,32
178.5419,512,32
178.7568,512,32
178.9233,128,32
179.0333,5120,512
179.1706,512,32
179.3933,32,32
179.5051,512,32
179.7622,512,32
179.8991,32,32
180.0057,512,32
180.2558,512,32
180.2872,3072,32
180.5266,128,32
180.6793,512,32
180.7568,512,32
180.9978,3072,1024
181.0370,2048,32
181.2553,5120,512
181.4031,2048,512
181.6428,512,32
181.7466,2048,32
181.8954,1024,128
181.9954,1024,32
182.1577,512,32
182.4078,3072,32
182.5012,4096,32
182.6643,128,32
182.9032,128,32
182.9956,512,32
183.1459,512,32
183.2463,512,32
183.3947,512,32
183.4312,512,32
183.6445,1024,32
183.7414,1024,128
183.9142,1024,32
184.0041,512,32
184.2596,3072,32
184.4932,2048,512
184.5362,512,32
184.7830,2048,128
185.2451,512,32
185.4142,512,32
