unix_ts,seq,phase,workload_id,rx_bytes,tx_bytes,gpu_util_pct,gpu_power_w,gpu_sm_mhz,gpu_memory_used_mib
1784715795.112165353,0,server_start,none,23701097045,11225075124,0, 75.45, 2520, 37565
1784715795.694135065,0,server_start,none,23701097045,11225075124,0, 75.42, 2520, 37565
1784715796.274074654,0,server_start,none,23701260951,11225232529,0, 75.42, 2520, 37565
1784715796.855514232,0,server_start,none,23701313206,11225278232,0, 75.28, 2520, 37565
1784715797.438015746,0,server_start,none,23701313206,11225278232,0, 75.25, 2520, 37565
1784715798.017738416,0,server_start,none,23701397799,11225359054,0, 75.25, 2520, 37565
1784715798.599064394,0,server_start,none,23701397799,11225359054,0, 75.50, 2520, 37565
1784715799.180633931,0,server_start,none,23701400523,11225368170,0, 75.50, 2520, 37565
1784715799.761640654,0,server_start,none,23701400523,11225368170,0, 75.37, 2520, 37565
1784715800.341849421,0,server_start,none,23701404313,11225379061,0, 75.37, 2520, 37565
1784715800.922670418,0,server_start,none,23701409249,11225392025,0, 75.50, 2520, 37565
1784715801.504527841,0,server_start,none,23701409249,11225392025,0, 75.50, 2520, 37565
1784715802.086277936,0,server_start,none,23701412013,11225398687,0, 75.50, 2520, 37565
1784715802.666925589,0,server_start,none,23701412013,11225398687,0, 75.25, 2520, 37565
1784715803.248906354,0,server_start,none,23701414841,11225409468,0, 75.25, 2520, 37565
1784715803.831261576,0,server_start,none,23701414841,11225409468,0, 75.64, 2520, 37565
1784715804.413144825,0,server_start,none,23701418565,11225421444,0, 75.66, 2520, 37565
1784715804.996137317,0,server_start,none,23701424157,11225440257,0, 75.66, 2520, 37565
1784715805.577251370,0,server_start,none,23701424157,11225440257,0, 75.52, 2520, 37565
1784715806.158133342,0,server_start,none,23701427629,11225444649,0, 75.52, 2520, 37565
1784715806.740000773,0,server_start,none,23701427629,11225444649,0, 75.52, 2520, 37565
1784715807.321953511,0,server_start,none,23701431221,11225449385,0, 75.52, 2520, 37565
1784715807.902488998,0,server_start,none,23701431221,11225449385,0, 75.40, 2520, 37565
1784715808.483564411,0,server_start,none,23701433865,11225452994,0, 75.65, 2520, 37565
1784715809.066964249,0,server_start,none,23701433865,11225452994,0, 75.65, 2520, 37565
1784715809.648161047,0,server_start,none,23701436615,11225457276,0, 75.52, 2520, 37565
1784715810.230948011,0,server_start,none,23701442357,11225464372,0, 75.52, 2520, 37565
1784715810.812396372,0,server_start,none,23701442357,11225464372,0, 75.50, 2520, 37565
1784715811.394068315,0,server_start,none,23701446015,11225470459,0, 75.76, 2520, 37565
1784715811.974959550,0,server_start,none,23701446015,11225470459,0, 75.76, 2520, 37565
1784715812.555634584,0,server_start,none,23701448181,11225474209,0, 75.64, 2520, 37565
1784715813.138955391,0,server_start,none,23701448181,11225474209,0, 75.64, 2520, 37565
1784715813.720238452,0,server_start,none,23701451409,11225480113,0, 75.74, 2520, 37565
1784715814.302094885,0,server_start,none,23701498799,11225497614,18, 76.39, 2520, 37565
1784715814.888510676,0,server_start,none,23701498799,11225497614,0, 77.82, 2520, 37815
1784715815.472073468,1,benchmark,short_r1,23701628745,11227816726,0, 77.93, 2520, 37815
1784715816.054215948,1,benchmark,short_r1,23701628745,11227816726,0, 77.53, 2520, 37815
1784715816.636252496,1,benchmark,short_r1,23701631081,11227821102,0, 75.59, 2520, 37815
1784715817.216440245,1,benchmark,short_r1,23701631081,11227821102,0, 75.59, 2520, 37815
1784715817.799750122,1,benchmark,short_r1,23701635129,11227829327,0, 75.77, 2520, 37815
1784715818.381600719,1,benchmark,short_r1,23701638991,11227837707,0, 75.77, 2520, 37815
1784715818.962335825,1,benchmark,short_r1,23701638991,11227837707,0, 75.67, 2520, 37815
1784715819.543391963,1,benchmark,short_r1,23701642757,11227844257,0, 75.67, 2520, 37815
1784715820.123180166,1,benchmark,short_r1,23701642757,11227844257,0, 75.79, 2520, 37815
1784715820.704772415,1,benchmark,short_r1,23701645001,11227851406,0, 75.91, 2520, 37815
1784715821.285066818,1,benchmark,short_r1,23701645001,11227851406,0, 75.91, 2520, 37815
1784715821.865821464,1,benchmark,short_r1,23701647299,11227858776,0, 75.54, 2520, 37815
1784715822.446077352,1,benchmark,short_r1,23701649477,11227866432,0, 75.54, 2520, 37815
1784715823.027233875,1,benchmark,short_r1,23701649477,11227866432,0, 75.54, 2520, 37815
1784715823.607268932,1,benchmark,short_r1,23701651441,11227881089,0, 75.54, 2520, 37815
1784715824.188762648,1,benchmark,short_r1,23701651441,11227881089,0, 75.54, 2520, 37815
1784715824.771006387,1,benchmark,short_r1,23701653619,11227889471,0, 75.76, 2520, 37815
1784715825.351098587,1,benchmark,short_r1,23701653619,11227889471,0, 75.76, 2520, 37815
1784715825.932165371,1,benchmark,short_r1,23701656843,11227899111,0, 75.76, 2520, 37815
1784715826.511207424,1,benchmark,short_r1,23701658379,11227904186,0, 75.76, 2520, 37815
1784715827.093810981,1,benchmark,short_r1,23701658379,11227904186,0, 75.76, 2520, 37815
1784715827.673687288,1,benchmark,short_r1,23701660677,11227913448,0, 75.76, 2520, 37815
1784715828.255976677,1,benchmark,short_r1,23701660677,11227913448,0, 75.76, 2520, 37815
1784715828.837355635,1,benchmark,short_r1,23701662855,11227922996,0, 75.64, 2520, 37815
1784715829.417146296,1,benchmark,short_r1,23701662855,11227922996,0, 75.64, 2520, 37815
1784715829.997242974,1,benchmark,short_r1,23701665153,11227933093,0, 75.64, 2520, 37815
1784715830.578976189,1,benchmark,short_r1,23701665153,11227933093,0, 76.25, 2520, 37815
1784715831.159792861,1,benchmark,short_r1,23701666371,11227938337,0, 76.25, 2520, 37815
1784715831.739552073,1,benchmark,short_r1,23701668669,11227948831,0, 76.62, 2520, 37815
1784715832.318617652,1,benchmark,short_r1,23701668669,11227948831,0, 76.62, 2520, 37815
1784715832.898968202,1,benchmark,short_r1,23701670847,11227955580,0, 75.91, 2520, 37815
1784715833.478951679,1,benchmark,short_r1,23701670847,11227955580,0, 75.91, 2520, 37815
1784715834.060662590,1,benchmark,short_r1,23701673013,11227958256,0, 75.67, 2520, 37815
1784715834.640250189,1,benchmark,short_r1,23701673013,11227958256,0, 85.19, 2520, 37815
1784715835.220870413,1,benchmark,short_r1,23701674165,11227959954,0, 87.86, 2520, 37815
1784715835.801203120,1,benchmark,short_r1,23701693265,11232369323,0, 87.21, 2520, 37815
1784715836.381290346,1,benchmark,short_r1,23701693265,11232369323,0, 75.87, 2520, 37815
1784715836.962103894,1,benchmark,short_r1,23701695311,11232372945,56, 86.48, 2520, 37815
1784715837.543785259,1,benchmark,short_r1,23701695311,11232372945,0, 90.51, 2520, 37815
1784715838.123830092,1,benchmark,short_r1,23701708811,11236777185,0, 76.95, 2520, 37815
1784715838.705236082,1,benchmark,short_r1,23701708811,11236777185,3, 77.68, 2520, 37819
1784715839.290180440,1,benchmark,short_r1,23701723479,11241183635,0, 77.42, 2520, 37819
1784715839.871297715,1,benchmark,short_r1,23701738324,11245590371,0, 86.44, 2520, 37819
1784715840.453593383,1,benchmark,short_r1,23701738324,11245590371,0, 86.97, 2520, 37819
1784715841.035151067,1,benchmark,short_r1,23701764808,11254399762,0, 78.48, 2520, 37819
1784715841.617094257,1,benchmark,short_r1,23701764808,11254399762,0, 87.25, 2520, 37819
1784715842.198719187,1,benchmark,short_r1,23701778443,11258804949,0, 85.36, 2520, 37819
1784715842.779717475,1,benchmark,short_r1,23701778443,11258804949,0, 85.36, 2520, 37819
1784715843.360703761,1,benchmark,short_r1,23701792419,11263212698,0, 98.38, 2520, 37819
1784715843.941489545,1,benchmark,short_r1,23701794717,11263218564,0, 90.75, 2520, 37819
1784715844.523519605,1,benchmark,short_r1,23701794717,11263218564,0, 90.02, 2520, 37819
1784715845.104894365,1,benchmark,short_r1,23701807940,11267624124,0, 75.97, 2520, 37819
1784715845.687176447,1,benchmark,short_r1,23701807940,11267624124,0, 75.97, 2520, 37819
1784715846.268552655,1,benchmark,short_r1,23701810238,11267630518,0, 78.46, 2520, 37819
