mono_s,power_w,sm_mhz,energy_mj
2505632.772,33.33,1500,56343553710
2505632.879,29.49,1500,56343556228
2505632.983,26.53,1500,56343561974
2505633.090,29.68,1020,56343569517
2505633.199,33.91,1065,56343576831
2505633.306,38.30,1050,56343583738
2505633.427,41.63,1500,56343590431
2505633.547,45.55,1500,56343597267
2505633.667,53.34,1500,56343610902
2505633.788,57.19,1500,56343617722
2505633.907,61.04,1500,56343624567
2505634.027,64.96,1500,56343631407
2505634.147,69.32,1500,56343638233
2505634.267,68.36,1500,56343651896
2505634.387,67.86,1500,56343658733
2505634.507,68.37,1500,56343665582
2505634.627,68.36,1500,56343672427
2505634.747,68.41,1500,56343679269
2505634.867,68.40,1500,56343692943
2505634.986,68.44,1500,56343699777
2505635.106,68.45,1500,56343706632
2505635.227,68.51,1500,56343713481
2505635.347,68.43,1500,56343720306
2505635.467,68.49,1500,56343733996
2505635.587,68.58,1500,56343740832
2505635.706,68.50,1500,56343747686
2505635.826,68.55,1500,56343754537
2505635.947,68.48,1500,56343761382
2505636.066,68.51,1500,56343775069
2505636.186,68.57,1500,56343781915
2505636.307,68.53,1500,56343788781
2505636.427,68.57,1500,56343795644
2505636.547,68.54,1500,56343802493
2505636.667,68.56,1500,56343816217
2505636.787,68.61,1500,56343823063
2505636.906,68.66,1500,56343829933
2505637.024,68.66,1500,56343836812
2505637.146,68.67,1500,56343843681
2505637.266,68.70,1500,56343857407
2505637.386,68.73,1500,56343864280
2505637.505,68.79,1500,56343871144
2505637.625,68.74,1500,56343878021
2505637.744,68.74,1500,56343884894
2505637.864,68.77,1500,56343898624
2505637.984,68.79,1500,56343905489
2505638.105,68.84,1500,56343912349
2505638.224,68.81,1500,56343919226
2505638.345,68.79,1500,56343926094
2505638.466,68.84,1500,56343939825
2505638.585,68.83,1500,56343946684
2505638.704,68.87,1500,56343953552
2505638.825,68.86,1500,56343960432
2505638.946,68.80,1500,56343967293
2505639.066,68.86,1500,56343980999
2505639.186,68.81,1500,56343987872
2505639.306,68.85,1500,56343994738
2505639.426,68.84,1500,56344001622
2505639.546,68.78,1500,56344008505
2505639.665,68.81,1500,56344022232
2505639.784,68.77,1500,56344029118
2505639.904,68.80,1500,56344035998
2505640.025,68.84,1500,56344042874
2505640.145,68.77,1500,56344049774
2505640.264,68.75,1500,56344063537
2505640.383,68.81,1500,56344070439
2505640.505,68.84,1500,56344077341
2505640.625,68.91,1500,56344084242
2505640.745,68.87,1500,56344091143
2505640.865,69.00,1500,56344104922
2505640.982,69.00,1500,56344111823
2505641.105,69.07,1500,56344118727
2505641.224,69.01,1500,56344125618
2505641.345,68.99,1500,56344132519
2505641.465,69.12,1500,56344146307
2505641.584,69.09,1500,56344153214
2505641.704,69.12,1500,56344160112
2505641.823,69.04,1500,56344167014
2505641.944,69.01,1500,56344173925
2505642.064,69.11,1500,56344187706
2505642.183,69.00,1500,56344194620
2505642.304,69.08,1500,56344201523
2505642.424,69.01,1500,56344208433
2505642.543,68.98,1500,56344215340
2505642.662,69.09,1500,56344229138
2505642.783,69.05,1500,56344236044
2505642.903,69.14,1500,56344242926
2505643.024,69.08,1500,56344249835
2505643.144,69.05,1500,56344256757
2505643.263,69.19,1500,56344270546
2505643.384,69.14,1500,56344277842
2505643.504,69.22,1500,56344284362
2505643.623,69.15,1500,56344291270
2505643.742,69.12,1500,56344298189
2505643.863,69.20,1500,56344312011
2505643.981,69.20,1500,56344318918
2505644.102,69.23,1500,56344325839
2505644.223,69.25,1500,56344332766
2505644.342,69.24,1500,56344339691
2505644.462,69.32,1500,56344353542
2505644.582,69.34,1500,56344360458
2505644.702,69.38,1500,56344367391
2505644.823,69.37,1500,56344374326
2505644.943,69.35,1500,56344381254
2505645.062,69.38,1500,56344395103
2505645.183,69.40,1500,56344402038
2505645.302,69.43,1500,56344408961
2505645.422,69.36,1500,56344415907
2505645.542,69.36,1500,56344422842
2505645.661,69.29,1500,56344436713
2505645.781,69.32,1500,56344443642
2505645.902,69.35,1500,56344450582
2505646.023,69.30,1500,56344457518
2505646.142,69.31,1500,56344464451
2505646.261,69.30,1500,56344478304
2505646.382,69.33,1500,56344485239
2505646.501,69.38,1500,56344492176
2505646.621,69.35,1500,56344499129
2505646.742,69.37,1500,56344506068
2505646.861,69.41,1500,56344519940
2505646.980,69.47,1500,56344526872
2505647.101,69.50,1500,56344533811
2505647.221,69.49,1500,56344540769
2505647.342,69.52,1500,56344547717
2505647.461,69.49,1500,56344561608
2505647.580,69.59,1500,56344568555
2505647.703,69.60,1500,56344575513
2505647.822,69.62,1500,56344582474
