request_id,workload_id,input_len,requested_output_len,observed_output_tokens,prefill_endpoint_id,decode_endpoint_id,ttft_ms,tpot_ms,client_observed_ttft_ms,client_observed_tpot_ms,mean_itl_ms,e2e_latency_ms,prefill_latency_ms,decode_stream_latency_ms,real_sse,logical_request_id_propagated
phase3c-xpyd_power_compare_baseline_256655-0027,small_light,128,64,64,P1,D1,200.62200701795518,55.965222571680826,210.00356692820787,55.9749706677856,55.97053474694904,3736.4267189987004,123.4934760723263,3602.6319240918383,True,True
phase3c-xpyd_power_compare_baseline_256655-0028,small_light,128,64,64,P1,D1,202.23268889822066,55.95562561962103,214.4414329668507,55.96415717561271,55.95983803227899,3740.1833350304514,125.92768191825598,3600.5879750009626,True,True
phase3c-xpyd_power_compare_baseline_256655-0029,small_light,128,64,64,P1,D1,198.72106506954879,55.95432938120904,207.18228293117136,55.95914190561171,55.954600333250944,3732.608222984709,122.49384704045951,3601.098798098974,True,True
phase3c-xpyd_power_compare_baseline_256655-0030,small_light,128,64,64,P1,D1,197.6240020012483,55.95344155546396,205.90641000308096,55.9566241748158,55.952376445814494,3731.173733016476,121.6916220728308,3600.644642021507,True,True
phase3c-xpyd_power_compare_baseline_256655-0031,small_light,128,64,64,P1,D1,197.6443879539147,55.94814723793654,206.7600570153445,55.95165498310789,55.94682574479116,3731.7143209511414,121.21696700342,3600.8310419274494,True,True
phase3c-xpyd_power_compare_baseline_256655-0032,small_light,128,64,64,P1,D1,197.2166149644181,55.955374570903444,206.29374007694423,55.959472236859185,55.955078633916045,3731.740490999073,120.3507169848308,3601.753478986211,True,True
phase3c-xpyd_power_compare_baseline_256655-0033,small_light,128,64,64,P1,D1,197.83225399442017,55.95336573028435,205.9489639941603,55.95682969959896,55.95266201629466,3731.229235068895,120.62871095258743,3601.9438069779426,True,True
phase3c-xpyd_power_compare_baseline_256655-0034,small_light,128,64,64,P1,D1,198.48311401437968,55.95353738005672,207.1451999945566,55.95733396827229,55.95315974723134,3732.4572399957106,122.08428105805069,3601.170371985063,True,True
phase3c-xpyd_power_compare_baseline_256655-0035,small_light,128,64,64,P1,D1,197.879774030298,55.94683399919184,206.67297497857362,55.949380491963694,55.94537257298177,3731.483945972286,121.51793402153999,3600.690437015146,True,True
phase3c-xpyd_power_compare_baseline_256655-0036,small_light,128,64,64,P1,D1,194.94019099511206,55.958589777306074,202.38365093246102,55.96840476232862,55.964106191245335,3728.393150959164,120.71123602800071,3599.3567059049383,True,True
phase3c-xpyd_power_compare_baseline_256655-0037,small_light,128,64,64,P1,D1,199.3367850081995,55.94491227049499,208.25242903083563,55.951580602956554,55.94409030256054,3733.2020070170984,124.01217594742775,3599.50598096475,True,True
phase3c-xpyd_power_compare_baseline_256655-0038,small_light,128,64,64,P1,D1,198.7182580633089,55.94737049273496,208.4214569767937,55.95013649121577,55.94565788845694,3733.2800559233874,122.29292199481279,3600.770618999377,True,True
phase3c-xpyd_power_compare_baseline_256655-0039,small_light,128,64,64,P1,D1,212.18603302258998,55.95041879282762,221.04117297567427,55.95517974709057,55.95021303151808,3746.2174970423803,133.7472660234198,3603.0065820086747,True,True
phase3c-xpyd_power_compare_baseline_256655-0040,small_light,128,64,64,P1,D1,210.90191102121025,55.94906403077027,219.89649604074657,55.95365826905306,55.94888841178978,3744.9769669910893,132.36926204990596,3603.013764950447,True,True
phase3c-xpyd_power_compare_baseline_256655-0041,small_light,128,64,64,P1,D1,212.34580304007977,55.96342587303962,228.81874395534396,55.97124123827569,55.96609401612705,3755.0069419667125,133.82478000130504,3603.1317110173404,True,True
phase3c-xpyd_power_compare_baseline_256655-0042,small_light,128,64,64,P1,D1,212.98742201179266,55.943910442736176,222.0482500270009,55.94794234881798,55.94245152407518,3746.768618002534,132.60108698159456,3604.5675539644435,True,True
phase3c-xpyd_power_compare_baseline_256655-0043,small_light,128,64,64,P1,D1,206.97350602131337,55.962104032496136,215.97792592365295,55.96853488878835,55.96247242970599,3741.995623917319,129.97406406793743,3602.344023063779,True,True
phase3c-xpyd_power_compare_baseline_256655-0044,small_light,128,64,64,P1,D1,213.94253592006862,55.95802569887527,223.55236997827888,55.963729380718654,55.95909825356175,3749.267320963554,134.66374098788947,3604.2941010091454,True,True
phase3c-xpyd_power_compare_baseline_256655-0045,small_light,128,64,64,P1,D1,210.94339492265135,55.95877996852828,219.85504403710365,55.96412041239322,55.959706142958666,3745.5946300178766,131.5508809639141,3604.4474949594587,True,True
phase3c-xpyd_power_compare_baseline_256655-0046,small_light,128,64,64,P1,D1,216.00100805517286,55.940793999027285,224.76151201408356,55.9448212540398,55.93984544513717,3749.285251018591,135.31048293225467,3604.6292649116367,True,True
phase3c-xpyd_power_compare_baseline_256655-0047,small_light,128,64,64,P1,D1,215.7377660041675,55.93986268199625,223.92222401686013,55.94355557003014,55.93939571427033,3748.366224928759,137.8400989342481,3601.7902930034325,True,True
phase3c-xpyd_power_compare_baseline_256655-0048,prefill_medium,1024,64,64,P1,D1,314.4040119368583,56.95064122315555,323.1500150868669,56.95491798392068,56.95037111004312,3911.30984807387,227.14538592845201,3674.884019070305,True,True
phase3c-xpyd_power_compare_baseline_256655-0049,prefill_medium,1024,64,64,P1,D1,302.0535910036415,56.97048144481544,309.74330904427916,56.975239983922435,56.970717300409596,3899.1834280313924,219.03925098013133,3671.865505981259,True,True
phase3c-xpyd_power_compare_baseline_256655-0050,prefill_medium,1024,64,64,P1,D1,300.14664796181023,56.959566920773966,308.20774903986603,56.96699031746932,56.958548157357626,3897.128139040433,216.507054050453,3671.8527280027047,True,True
phase3c-xpyd_power_compare_baseline_256655-0051,prefill_medium,1024,64,64,P1,D1,305.4365509888157,56.96278557159184,315.0073760189116,56.967749635482,56.96315044492838,3903.9756030542776,221.69874503742903,3672.0564839197323,True,True
phase3c-xpyd_power_compare_baseline_256655-0052,prefill_medium,1024,64,64,P1,D1,307.54644295666367,56.967295000388745,315.37827500142157,56.971570523086164,56.96706445924642,3904.58721795585,224.33166997507215,3671.8535700347275,True,True
phase3c-xpyd_power_compare_baseline_256655-0053,prefill_medium,1024,64,64,P1,D1,303.39506594464183,56.96215888943582,312.0202790014446,56.967662571604166,56.96341168275842,3900.9830210125074,219.90357898175716,3671.8183109769598,True,True
phase3c-xpyd_power_compare_baseline_256655-0054,prefill_medium,1024,64,64,P1,D1,294.7598519967869,56.963964317378306,303.71044704224914,56.97094401647706,56.96479571495382,3892.879920080304,210.40884300600737,3672.7515449747443,True,True
phase3c-xpyd_power_compare_baseline_256655-0055,prefill_medium,1024,64,64,P1,D1,295.5708330264315,56.96167345971815,303.29596903175116,56.96810701573711,56.96210863497404,3892.286711023189,210.9802960185334,3672.8936029830948,True,True
phase3c-xpyd_power_compare_baseline_256655-0056,prefill_medium,1024,64,64,P1,D1,294.40462798811495,56.962017587105194,302.59378207847476,56.96844428570734,56.96282520638927,3891.6057720780373,210.26271709706634,3672.449773992412,True,True
phase3c-xpyd_power_compare_baseline_256655-0057,prefill_medium,1024,64,64,P1,D1,295.68274202756584,56.96230969901773,304.9810139928013,56.9663929036035,56.961999428162855,3893.8637669198215,211.3749359268695,3672.602931037545,True,True
phase3c-xpyd_power_compare_baseline_256655-0058,prefill_medium,1024,64,64,P1,D1,294.3139369599521,56.981175064316226,303.50074695888907,56.98654103270244,56.981950872651645,3893.652832019143,210.59295302256942,3673.1952680274844,True,True
phase3c-xpyd_power_compare_baseline_256655-0059,prefill_medium,1024,64,64,P1,D1,303.70956496335566,56.96716231833552,311.0888240626082,56.97276752390382,56.9674203482767,3900.3731780685484,219.4187530549243,3672.9223480215296,True,True
phase3c-xpyd_power_compare_baseline_256655-0060,prefill_medium,1024,64,64,P1,D1,294.1285079577938,56.96098985786121,303.0100530013442,56.96432812634619,56.96018263401966,3891.762724961154,209.59673495963216,3672.7368980646133,True,True
phase3c-xpyd_power_compare_baseline_256655-0061,prefill_medium,1024,64,64,P1,D1,299.50005398131907,56.96584506418615,308.51877201348543,56.97113547718063,56.96612892169801,3897.7003070758656,215.93611896969378,3672.05799696967,True,True
phase3c-xpyd_power_compare_baseline_256655-0062,prefill_medium,1024,64,64,P1,D1,292.7338309818879,56.969023858463125,301.09391908627003,56.97414212645815,56.96952722168395,3890.4648730531335,209.32276104576886,3672.1709669800475,True,True
phase3c-xpyd_power_compare_baseline_256655-0063,prefill_medium,1024,64,64,P1,D1,291.150206932798,56.96483847633418,300.17945007421076,56.97056274521091,56.96614045974991,3889.324903022498,209.05851700808853,3670.5356190213934,True,True
phase3c-xpyd_power_compare_baseline_256655-0064,prefill_medium,1024,64,64,P1,D1,297.06972907297313,56.965692316196744,305.91081792954355,56.97060084073908,56.96615000026271,3895.0586708961055,213.20947399362922,3672.3636479582638,True,True
phase3c-xpyd_power_compare_baseline_256655-0065,prefill_medium,1024,64,64,P1,D1,300.0209740130231,56.96490760301314,308.97450796328485,56.96925260348335,56.96414914240854,3898.0374219827354,217.00169402174652,3671.4893539901823,True,True
phase3c-xpyd_power_compare_baseline_256655-0066,prefill_medium,1024,64,64,P1,D1,297.18379804398865,56.97226190444319,309.15326497051865,56.983707905081765,56.97730265092105,3899.12686299067,213.5973139666021,3672.5178180495277,True,True
phase3c-xpyd_power_compare_baseline_256655-0067,prefill_medium,1024,64,64,P1,D1,295.61011295299977,56.98656531730815,308.5364910075441,56.99188745994535,56.986617840944774,3899.025400984101,213.19246001075953,3672.022412996739,True,True
phase3c-xpyd_power_compare_baseline_256655-0068,prefill_medium,1024,64,64,P1,D1,297.1189389936626,56.96486409509643,304.06379397027194,56.97041787281041,56.96617550815323,3893.200119957328,213.37310201488435,3672.2751839552075,True,True
phase3c-xpyd_power_compare_baseline_256655-0069,prefill_medium,1024,64,64,P1,D1,298.801560071297,56.985821063068535,307.47136007994413,56.99312355413679,56.9884221897357,3898.0381439905614,217.17603702563792,3671.431601047516,True,True
phase3c-xpyd_power_compare_baseline_256655-0070,prefill_medium,1024,64,64,P1,D1,300.45879899989814,56.96295426848034,309.7054340178147,56.96552331625883,56.961127032067566,3898.533402942121,217.04549004789442,3671.7616569949314,True,True
