gpu,phase,tp,freq_mhz,shape,slo_ms,rho_max,n_points
l40s,decode,1,1245,all,200,1.9302,48
l40s,decode,1,1245,all,400,1.9302,48
l40s,prefill,1,990,all,200,0.1239,48
l40s,prefill,1,990,all,500,0.5045,48
l40s,prefill,1,990,all,1000,0.8315,48
l40s,decode,1,990,all,100,1.3259,48
l40s,decode,1,990,all,200,1.9795,48
l40s,decode,1,990,all,400,1.9795,48
l40s,prefill,1,735,all,200,0.0589,45
l40s,prefill,1,735,all,500,0.1781,45
l40s,prefill,1,735,all,1000,0.4662,45
l40s,decode,1,735,all,100,0.4662,45
l40s,decode,1,735,all,200,2.0611,45
l40s,decode,1,735,all,400,2.0611,45
l40s,prefill,1,480,all,200,0.0685,42
l40s,prefill,1,480,all,500,0.3833,42
l40s,prefill,1,480,all,1000,0.3833,42
l40s,decode,1,480,all,100,0.3833,42
l40s,decode,1,480,all,200,0.3833,42
l40s,decode,1,480,all,400,2.1746,42
l40s,prefill,1,210,all,200,0.0,33
l40s,prefill,1,210,all,500,0.2427,33
l40s,prefill,1,210,all,1000,0.2427,33
l40s,decode,1,210,all,100,0.2427,33
l40s,decode,1,210,all,200,0.3559,33
l40s,decode,1,210,all,400,0.3559,33
l40s,prefill,2,2265,all,200,0.9304,21
l40s,prefill,2,2265,all,500,0.9684,21
l40s,prefill,2,2265,all,1000,0.9684,21
l40s,decode,2,2265,all,100,0.9684,21
l40s,decode,2,2265,all,200,3.1527,21
l40s,decode,2,2265,all,400,4.5246,21
l40s,prefill,2,2010,all,200,0.976,24
l40s,prefill,2,2010,all,500,1.0003,24
l40s,prefill,2,2010,all,1000,1.0003,24
l40s,decode,2,2010,all,100,1.0003,24
l40s,decode,2,2010,all,200,3.2017,24
l40s,decode,2,2010,all,400,4.5309,24
l40s,prefill,2,1755,all,200,0.0,24
l40s,prefill,2,1755,all,500,1.0384,24
l40s,prefill,2,1755,all,1000,1.0384,24
l40s,decode,2,1755,all,100,1.0384,24
l40s,decode,2,1755,all,200,3.256,24
l40s,decode,2,1755,all,400,4.5282,24
l40s,prefill,2,1500,all,200,0.0,21
l40s,prefill,2,1500,all,500,1.0448,21
l40s,prefill,2,1500,all,1000,1.0448,21
l40s,decode,2,1500,all,100,1.0448,21
