unix_ns,monotonic_ns,event,client_request_id,internal_request_id,route_index,stage,upstream_url,http_status,bytes,prefill_http,decode_http,traceparent,error
1785364477409565665,989847453095653,upstream_headers,prefill_heavy-00033-b266a16f3071,___prefill_addr_10.1.0.6:34327___decode_addr_10.1.0.3:34327_prefill_heavy-00033-b266a16f3071_67c303583431456b9b411784828ac36d,53,prefill,http://10.1.0.6:32327/v1/completions,200,,,,00-2fac3277ad47490a8f544793ee76b9db-84f853148f354393-01,
1785364477541862077,989847585392560,upstream_first_chunk,prefill_heavy-00033-b266a16f3071,___prefill_addr_10.1.0.6:34327___decode_addr_10.1.0.3:34327_prefill_heavy-00033-b266a16f3071_67c303583431456b9b411784828ac36d,53,prefill,http://10.1.0.6:32327/v1/completions,200,712,,,00-2fac3277ad47490a8f544793ee76b9db-84f853148f354393-01,
1785364477544830328,989847588361003,upstream_complete,prefill_heavy-00033-b266a16f3071,___prefill_addr_10.1.0.6:34327___decode_addr_10.1.0.3:34327_prefill_heavy-00033-b266a16f3071_67c303583431456b9b411784828ac36d,53,prefill,http://10.1.0.6:32327/v1/completions,200,712,,,00-2fac3277ad47490a8f544793ee76b9db-84f853148f354393-01,
1785364477547808097,989847591337983,upstream_dispatch,prefill_heavy-00033-b266a16f3071,___prefill_addr_10.1.0.6:34327___decode_addr_10.1.0.3:34327_prefill_heavy-00033-b266a16f3071_67c303583431456b9b411784828ac36d,53,decode,http://10.1.0.3:33327/v1/completions,,,,,00-2fac3277ad47490a8f544793ee76b9db-84f853148f354393-01,
1785364477556596875,989847600127101,upstream_headers,prefill_heavy-00033-b266a16f3071,___prefill_addr_10.1.0.6:34327___decode_addr_10.1.0.3:34327_prefill_heavy-00033-b266a16f3071_67c303583431456b9b411784828ac36d,53,decode,http://10.1.0.3:33327/v1/completions,200,,,,00-2fac3277ad47490a8f544793ee76b9db-84f853148f354393-01,
1785364477647341758,989847690872298,upstream_complete,prefill_heavy-00029-81e6e0f1f161,___prefill_addr_10.1.0.6:34327___decode_addr_10.1.0.3:34327_prefill_heavy-00029-81e6e0f1f161_7c0e67bda09846f1a3d5d30452339082,49,decode,http://10.1.0.3:33327/v1/completions,200,12368,,,00-4162759ec1924111b3d3a391f862ce9a-99d86c9a8788474f-01,
1785364477651782943,989847695313191,proxy_complete,prefill_heavy-00029-81e6e0f1f161,___prefill_addr_10.1.0.6:34327___decode_addr_10.1.0.3:34327_prefill_heavy-00029-81e6e0f1f161_7c0e67bda09846f1a3d5d30452339082,49,,,,,10.1.0.6:32327,10.1.0.3:33327,00-4162759ec1924111b3d3a391f862ce9a-99d86c9a8788474f-01,
1785364477699464079,989847742994506,upstream_first_chunk,prefill_heavy-00033-b266a16f3071,___prefill_addr_10.1.0.6:34327___decode_addr_10.1.0.3:34327_prefill_heavy-00033-b266a16f3071_67c303583431456b9b411784828ac36d,53,decode,http://10.1.0.3:33327/v1/completions,200,377,,,00-2fac3277ad47490a8f544793ee76b9db-84f853148f354393-01,
1785364477896727645,989847940258040,proxy_arrival,prefill_heavy-00034-8df0b1755f9f,,,,,,,,,00-30c4fd370145489f8f45b017dc23ce36-beaf7509ebb14a4c-01,
1785364477899294691,989847942825191,proxy_route,prefill_heavy-00034-8df0b1755f9f,___prefill_addr_10.1.0.6:34327___decode_addr_10.1.0.3:34327_prefill_heavy-00034-8df0b1755f9f_23b72272364e4539acebb7bc336ebc0c,54,,,,,10.1.0.6:32327,10.1.0.3:33327,00-30c4fd370145489f8f45b017dc23ce36-beaf7509ebb14a4c-01,
