exp,pool,tp,freq_mhz,l4_freq_mhz,il,ol,rate_configured_rps,req_throughput_rps,throughput_tps,p99_ttft_ms,p99_tpot_ms,saturated,slo_tight_ok,slo_moderate_ok,slo_loose_ok
D,l4,1,2040,,2,512,50.0,1.24,638.61,287.91,84.32,true,false,true,true
D,l4,1,2040,,2,64,10.0,8.25,536.43,230.65,69.99,true,false,true,true
D,l4,1,2040,,2,64,20.0,10.74,697.99,224.52,72.03,true,false,true,true
D,l4,1,2040,,2,64,30.0,10.86,705.91,225.39,71.85,true,false,true,true
D,l4,1,2040,,2,64,5.0,4.55,295.56,216.38,66.17,false,false,true,true
D,l4,1,2040,,2,64,50.0,10.96,712.69,233.98,71.75,true,false,true,true
D,l4,1,990,,2,1024,10.0,0.49,501.95,5671.79,127.79,true,false,false,false
D,l4,1,990,,2,1024,20.0,0.49,503.35,4979.68,129.28,true,false,false,false
D,l4,1,990,,2,1024,30.0,0.49,503.51,4489.37,129.55,true,false,false,false
D,l4,1,990,,2,1024,5.0,0.49,501.99,6723.42,125.37,true,false,false,false
D,l4,1,990,,2,1024,50.0,0.49,504.0,4219.16,130.04,true,false,false,false
D,l4,1,990,,2,128,10.0,5.16,665.79,238.2,76.6,true,false,true,true
D,l4,1,990,,2,128,20.0,5.24,675.64,240.78,76.61,true,false,true,true
D,l4,1,990,,2,128,30.0,5.27,679.31,239.24,76.51,true,false,true,true
D,l4,1,990,,2,128,5.0,4.1,528.83,242.68,74.69,true,false,true,true
D,l4,1,990,,2,128,50.0,5.29,682.86,234.37,76.44,true,false,true,true
D,l4,1,990,,2,256,10.0,2.52,648.5,253.93,80.92,true,false,true,true
D,l4,1,990,,2,256,20.0,2.54,653.29,257.51,80.86,true,false,true,true
D,l4,1,990,,2,256,30.0,2.55,654.94,257.14,80.83,true,false,true,true
D,l4,1,990,,2,256,5.0,2.49,639.2,246.72,80.92,true,false,true,true
D,l4,1,990,,2,256,50.0,2.55,656.61,257.96,80.8,true,false,true,true
