adaptive,attempt,axis,candidate_id,control_inclusive_duration_sum_s,control_inclusive_energy_sum_j,decode_frequency_mhz,duration_s,early_stop_reason,end,energy_statistic,event,grid_index,latency_statistic,mean_power_w,measured_energy_j,measured_power_w,prefill_frequency_mhz,probe_id,repeat_index,request_duration_sum_s,request_energy_sum_j,sample_count,search_stage,slo_met,start,tpot_ms,ttft_ms,workload_id
True,1,D,production-00001-attempt-1-energy-refine-D-8,12.66554307937622,1485.3206023350358,1050,11.46253752708435,stable_with_slo_headroom,1788695683.083507,mean_request_energy_j,probe_candidate_aggregated,8,p95,121.65645806675094,455.8649900692205,121.65638935779299,1005,production-00001-attempt-1-energy-refine-D-8,,11.24144983291626,1367.5949702076614,3,energy-refine,True,1788695671.6209695,56.51653208769858,183.42153060948476,small_light
False,1,,production-00001-attempt-1-confirm,12.712047815322876,1484.935529332608,975,11.638993501663208,,1788695696.2316923,mean_request_energy_j,probe_candidate_aggregated,,p95,120.7039079242308,455.1680465961496,120.70461705610654,1005,production-00001-attempt-1-confirm,,11.312841176986694,1365.5041397884488,3,confirmation,True,1788695684.5926988,56.65722062001892,203.5111112287268,small_light
True,1,P,production-00051-attempt-1-binary-slo-P-8,15.04842209815979,1831.4091906137764,1500,12.040739297866821,stable_with_slo_headroom,1788695992.8999794,mean_request_energy_j,probe_candidate_aggregated,8,p95,132.54506401670406,517.4669750904044,132.5417444824543,1710,production-00051-attempt-1-binary-slo-P-8,,11.712249994277954,1552.400925271213,3,binary-slo,True,1788695980.85924,56.947442055088544,329.987857863307,prefill_medium
True,1,P,production-00051-attempt-1-binary-slo-P-3,13.767261743545532,1721.5456812083721,1500,12.022634029388428,stable_with_slo_headroom,1788696007.0578296,mean_request_energy_j,probe_candidate_aggregated,3,p95,131.3583623140111,516.4855573611954,131.3585023706471,1200,production-00051-attempt-1-binary-slo-P-3,,11.795645475387573,1549.4566720835865,3,binary-slo,True,1788695995.0351956,56.95142538013262,340.64677177229896,prefill_medium
True,1,P,production-00051-attempt-1-binary-slo-P-1,13.869426727294922,1723.7796119488776,1500,12.161978721618652,stable_with_slo_headroom,1788696021.3685594,mean_request_energy_j,probe_candidate_aggregated,1,p95,131.0351777346389,519.0333753203353,131.03563496925923,1005,production-00051-attempt-1-binary-slo-P-1,,11.883069515228271,1557.1001259610057,3,binary-slo,True,1788696009.2065806,56.948459544034286,372.49378823908046,prefill_medium
True,1,P,production-00051-attempt-1-binary-slo-P-0,13.643032789230347,1703.1811087951064,1500,12.153854846954346,stable_with_slo_headroom,1788696035.4027357,mean_request_energy_j,probe_candidate_aggregated,0,p95,130.5646241947976,519.1668235609928,130.5645162539314,900,production-00051-attempt-1-binary-slo-P-0,,11.928962230682373,1557.5004706829786,3,binary-slo,True,1788696023.2488809,56.95231696775567,386.1383899813518,prefill_medium
True,1,P,production-00051-attempt-1-energy-refine-P-2,13.810370922088623,1731.7539350949228,1500,12.065927743911743,stable_with_slo_headroom,1788696049.5550015,mean_request_energy_j,probe_candidate_aggregated,2,p95,131.9095155269411,520.4989429824054,131.90952030890193,1110,production-00051-attempt-1-energy-refine-P-2,,11.83763599395752,1561.4968289472163,3,energy-refine,True,1788696037.4890738,56.958251448333385,354.0309981442988,prefill_medium
True,1,P,production-00051-attempt-1-energy-refine-P-4,13.767329931259155,1748.5829167924821,1500,11.999090194702148,stable_with_slo_headroom,1788696063.668247,mean_request_energy_j,probe_candidate_aggregated,4,p95,133.81675475207385,524.9723622811338,133.8166302695935,1305,production-00051-attempt-1-energy-refine-P-4,,11.769207000732422,1574.9170868434012,3,energy-refine,True,1788696051.6691568,56.954925115929825,332.45774186216295,prefill_medium
True,1,D,production-00051-attempt-1-binary-slo-D-7,15.628384351730347,1800.198297675699,975,12.270590543746948,stable_with_slo_headroom,1788696079.6404467,mean_request_energy_j,probe_candidate_aggregated,7,p95,123.91553513766068,497.380878670762,123.9160162087082,1200,production-00051-attempt-1-binary-slo-D-7,,12.041610717773438,1492.142636012286,3,binary-slo,True,1788696067.369856,58.179566594735086,346.81912646628916,prefill_medium
True,1,D,production-00051-attempt-1-binary-slo-D-3,13.775750875473022,1630.4437201544642,675,12.632105827331543,stable_with_slo_headroom,1788696093.8618116,mean_request_energy_j,probe_candidate_aggregated,3,p95,122.37087196477114,503.7138522726794,122.37106945422208,1200,production-00051-attempt-1-binary-slo-D-3,,12.34886646270752,1511.1415568180382,3,binary-slo,True,1788696081.2297058,59.62945349525572,362.77535951230675,prefill_medium
True,1,D,production-00051-attempt-1-binary-slo-D-1,14.15784478187561,1668.71869956702,525,12.95859408378601,stable_with_slo_headroom,1788696108.5207434,mean_request_energy_j,probe_candidate_aggregated,1,p95,122.12452330795448,513.7558011524379,122.12463748200445,1200,production-00051-attempt-1-binary-slo-D-1,,12.620457887649536,1541.2674034573138,3,binary-slo,True,1788696095.5621493,61.00558321202351,364.8175557493232,prefill_medium
True,1,D,production-00051-attempt-1-binary-slo-D-0,14.213263988494873,1660.5642730891705,450,13.023802280426025,stable_with_slo_headroom,1788696123.0272622,mean_request_energy_j,probe_candidate_aggregated,0,p95,120.55697485163533,514.1541064182917,120.5568734149669,1200,production-00051-attempt-1-binary-slo-D-0,,12.794467687606812,1542.4623192548752,3,binary-slo,True,1788696110.00346,62.06565259342333,352.2912901593372,prefill_medium
True,1,D,production-00051-attempt-1-energy-refine-D-6,13.554181337356567,1621.9595372006297,900,12.327417135238647,stable_with_slo_headroom,1788696136.926124,mean_request_energy_j,probe_candidate_aggregated,6,p95,123.98205367644039,500.10298952708644,123.98205621232181,1200,production-00051-attempt-1-energy-refine-D-6,,12.101017236709595,1500.3089685812593,3,energy-refine,True,1788696124.598707,58.49010527673518,345.4623414669186,prefill_medium
True,1,D,production-00051-attempt-1-energy-refine-D-8,13.391653776168823,1608.8969091065228,1050,12.275665760040283,stable_with_slo_headroom,1788696150.7190564,mean_request_energy_j,probe_candidate_aggregated,8,p95,124.39234908006225,497.10506944234174,124.39224409439906,1200,production-00051-attempt-1-energy-refine-D-8,,11.988801717758179,1491.3152083270252,3,energy-refine,True,1788696138.4433906,57.92404097830138,343.6147172935307,prefill_medium
True,1,D,production-00051-attempt-1-energy-refine-D-9,13.343679666519165,1607.557553447783,1125,12.228372573852539,stable_with_slo_headroom,1788696164.5092008,mean_request_energy_j,probe_candidate_aggregated,9,p95,124.74034154216587,496.7181557143728,124.74053431623706,1200,production-00051-attempt-1-energy-refine-D-9,,11.946050882339478,1490.1544671431184,3,energy-refine,True,1788696152.2808282,57.72427925525884,342.80916857533157,prefill_medium
