unix_ts,host,gpu_index,gpu_uuid,power_w,sm_clock_mhz,gpu_util_pct
1786139785.696591,uranus,3,GPU-cf1b5b7d-8763-6525-9981-6475b78f93ef,32.72,210.0,0.0
1786139786.197082,uranus,0,GPU-6755bd3b-01b2-2c3d-ffd4-0bd39bfa5cbf,31.59,210.0,0.0
1786139786.197082,uranus,1,GPU-f86d44b5-2a98-9fec-5dfa-846305de5c6e,32.35,210.0,0.0
1786139786.197082,uranus,2,GPU-486e3468-ebed-0ab2-d394-075b52e54509,31.4,210.0,0.0
1786139786.197082,uranus,3,GPU-cf1b5b7d-8763-6525-9981-6475b78f93ef,32.72,210.0,0.0
1786139786.697570,uranus,0,GPU-6755bd3b-01b2-2c3d-ffd4-0bd39bfa5cbf,31.59,210.0,0.0
1786139786.697570,uranus,1,GPU-f86d44b5-2a98-9fec-5dfa-846305de5c6e,32.37,210.0,0.0
1786139786.697570,uranus,2,GPU-486e3468-ebed-0ab2-d394-075b52e54509,31.4,210.0,0.0
1786139786.697570,uranus,3,GPU-cf1b5b7d-8763-6525-9981-6475b78f93ef,32.72,210.0,0.0
1786139787.198070,uranus,0,GPU-6755bd3b-01b2-2c3d-ffd4-0bd39bfa5cbf,31.59,210.0,0.0
1786139787.198070,uranus,1,GPU-f86d44b5-2a98-9fec-5dfa-846305de5c6e,32.37,210.0,0.0
1786139787.198070,uranus,2,GPU-486e3468-ebed-0ab2-d394-075b52e54509,31.4,210.0,0.0
1786139787.198070,uranus,3,GPU-cf1b5b7d-8763-6525-9981-6475b78f93ef,32.73,210.0,0.0
1786139787.698590,uranus,0,GPU-6755bd3b-01b2-2c3d-ffd4-0bd39bfa5cbf,31.59,210.0,0.0
1786139787.698590,uranus,1,GPU-f86d44b5-2a98-9fec-5dfa-846305de5c6e,32.36,210.0,0.0
1786139787.698590,uranus,2,GPU-486e3468-ebed-0ab2-d394-075b52e54509,31.4,210.0,0.0
1786139787.698590,uranus,3,GPU-cf1b5b7d-8763-6525-9981-6475b78f93ef,32.73,210.0,0.0
1786139788.199080,uranus,0,GPU-6755bd3b-01b2-2c3d-ffd4-0bd39bfa5cbf,31.59,210.0,0.0
1786139788.199080,uranus,1,GPU-f86d44b5-2a98-9fec-5dfa-846305de5c6e,32.36,210.0,0.0
1786139788.199080,uranus,2,GPU-486e3468-ebed-0ab2-d394-075b52e54509,31.4,210.0,0.0
1786139788.199080,uranus,3,GPU-cf1b5b7d-8763-6525-9981-6475b78f93ef,32.73,210.0,0.0
1786139788.699576,uranus,0,GPU-6755bd3b-01b2-2c3d-ffd4-0bd39bfa5cbf,31.47,210.0,0.0
1786139788.699576,uranus,1,GPU-f86d44b5-2a98-9fec-5dfa-846305de5c6e,32.36,210.0,0.0
1786139788.699576,uranus,2,GPU-486e3468-ebed-0ab2-d394-075b52e54509,31.4,210.0,0.0
1786139788.699576,uranus,3,GPU-cf1b5b7d-8763-6525-9981-6475b78f93ef,32.73,210.0,0.0
1786139789.200069,uranus,0,GPU-6755bd3b-01b2-2c3d-ffd4-0bd39bfa5cbf,31.47,210.0,0.0
1786139789.200069,uranus,1,GPU-f86d44b5-2a98-9fec-5dfa-846305de5c6e,32.36,210.0,0.0
1786139789.200069,uranus,2,GPU-486e3468-ebed-0ab2-d394-075b52e54509,31.4,210.0,0.0
1786139789.200069,uranus,3,GPU-cf1b5b7d-8763-6525-9981-6475b78f93ef,32.73,210.0,0.0
1786139789.700602,uranus,0,GPU-6755bd3b-01b2-2c3d-ffd4-0bd39bfa5cbf,31.42,210.0,0.0
1786139789.700602,uranus,1,GPU-f86d44b5-2a98-9fec-5dfa-846305de5c6e,32.36,210.0,0.0
1786139789.700602,uranus,2,GPU-486e3468-ebed-0ab2-d394-075b52e54509,31.4,210.0,0.0
1786139789.700602,uranus,3,GPU-cf1b5b7d-8763-6525-9981-6475b78f93ef,32.73,210.0,0.0
1786139790.201095,uranus,0,GPU-6755bd3b-01b2-2c3d-ffd4-0bd39bfa5cbf,31.42,210.0,0.0
1786139790.201095,uranus,1,GPU-f86d44b5-2a98-9fec-5dfa-846305de5c6e,32.36,210.0,0.0
1786139790.201095,uranus,2,GPU-486e3468-ebed-0ab2-d394-075b52e54509,31.4,210.0,0.0
1786139790.201095,uranus,3,GPU-cf1b5b7d-8763-6525-9981-6475b78f93ef,32.73,210.0,0.0
1786139790.701583,uranus,0,GPU-6755bd3b-01b2-2c3d-ffd4-0bd39bfa5cbf,31.42,210.0,0.0
1786139790.701583,uranus,1,GPU-f86d44b5-2a98-9fec-5dfa-846305de5c6e,32.23,210.0,0.0
1786139790.701583,uranus,2,GPU-486e3468-ebed-0ab2-d394-075b52e54509,31.4,210.0,0.0
1786139790.701583,uranus,3,GPU-cf1b5b7d-8763-6525-9981-6475b78f93ef,32.73,210.0,0.0
1786139791.202072,uranus,0,GPU-6755bd3b-01b2-2c3d-ffd4-0bd39bfa5cbf,31.42,210.0,0.0
1786139791.202072,uranus,1,GPU-f86d44b5-2a98-9fec-5dfa-846305de5c6e,32.23,210.0,0.0
1786139791.202072,uranus,2,GPU-486e3468-ebed-0ab2-d394-075b52e54509,31.45,210.0,0.0
1786139791.202072,uranus,3,GPU-cf1b5b7d-8763-6525-9981-6475b78f93ef,32.72,210.0,0.0
1786139791.702579,uranus,0,GPU-6755bd3b-01b2-2c3d-ffd4-0bd39bfa5cbf,31.42,210.0,0.0
1786139791.702579,uranus,1,GPU-f86d44b5-2a98-9fec-5dfa-846305de5c6e,32.11,210.0,0.0
1786139791.702579,uranus,2,GPU-486e3468-ebed-0ab2-d394-075b52e54509,31.45,210.0,0.0
1786139791.702579,uranus,3,GPU-cf1b5b7d-8763-6525-9981-6475b78f93ef,32.72,210.0,0.0
1786139792.203076,uranus,0,GPU-6755bd3b-01b2-2c3d-ffd4-0bd39bfa5cbf,31.42,210.0,0.0
1786139792.203076,uranus,1,GPU-f86d44b5-2a98-9fec-5dfa-846305de5c6e,32.11,210.0,0.0
1786139792.203076,uranus,2,GPU-486e3468-ebed-0ab2-d394-075b52e54509,31.5,210.0,0.0
1786139792.203076,uranus,3,GPU-cf1b5b7d-8763-6525-9981-6475b78f93ef,32.72,210.0,0.0
1786139792.703568,uranus,0,GPU-6755bd3b-01b2-2c3d-ffd4-0bd39bfa5cbf,31.42,210.0,0.0
1786139792.703568,uranus,1,GPU-f86d44b5-2a98-9fec-5dfa-846305de5c6e,32.23,210.0,0.0
1786139792.703568,uranus,2,GPU-486e3468-ebed-0ab2-d394-075b52e54509,31.5,210.0,0.0
1786139792.703568,uranus,3,GPU-cf1b5b7d-8763-6525-9981-6475b78f93ef,32.72,210.0,0.0
1786139793.204062,uranus,0,GPU-6755bd3b-01b2-2c3d-ffd4-0bd39bfa5cbf,31.42,210.0,0.0
1786139793.204062,uranus,1,GPU-f86d44b5-2a98-9fec-5dfa-846305de5c6e,32.23,210.0,0.0
