phase,request_id,p_mhz,d_mhz,input_len,output_len,burst_size,rank,rep,background_target,background_active,status,error,ttft_ms,tpot_ms,client_first_chunk_ms,client_done_ms,chunks,t_request_received_ms,t_route_selected_ms,t_prefill_started_ms,t_prefill_completed_ms,t_kv_handoff_completed_ms,t_decode_request_started_ms,t_decode_response_headers_received_ms,t_decode_first_real_chunk_received_ms,t_decode_first_real_chunk_forwarded_ms,t_decode_last_chunk_received_ms,t_response_completed_ms
bursts_reference,k1-bursts_reference-000056,2520,1500,1024,16,4,2,4,,,ok,,918.8986141234636,61.71937032292286,918.9334767870605,1847.4417706020176,16,0.031789764761924744,0.04392396658658981,0.10358868166804314,759.8257828503847,759.8286350257695,759.9014258012176,785.7821066863835,918.9304038882256,918.9320597797632,1844.7209587320685,1844.7248027659953
bursts_reference,k1-bursts_reference-000054,2520,1500,1024,16,4,0,4,,,ok,,920.4293661750853,61.71970274299383,920.4791616648436,1850.0725626945496,16,0.047235749661922455,0.0651450827717781,0.1709037460386753,762.0094986632466,762.0123736560345,762.0799080468714,787.4041749164462,920.4766019247472,920.4781157895923,1846.2721430696547,1846.2751959450543
bursts_reference,k1-bursts_reference-000058,2520,1500,128,16,8,0,2,,,ok,,581.1174176633358,59.66605140517155,581.1680718325078,1477.795360609889,16,0.04622898995876312,0.06305892020463943,0.16947463154792786,506.6759926266968,506.67989859357476,506.7715076729655,517.5974979065359,581.1636466532946,581.1660927720368,1476.1544177308679,1476.1619698256254
bursts_reference,k1-bursts_reference-000059,2520,1500,128,16,8,1,2,,,ok,,701.273625716567,59.599284206827484,701.3151128776371,1598.0065166950226,16,0.03618793562054634,0.05079992115497589,0.1276237890124321,512.5808580778539,512.5839449465275,512.658919673413,535.8558399602771,701.3098136521876,701.3131640851498,1595.2990767545998,1595.317892730236
bursts_reference,k1-bursts_reference-000060,2520,1500,128,16,8,2,2,,,ok,,700.7491239346564,59.60004832595587,700.782563071698,1599.2152821272612,16,0.030106399208307266,0.041905324906110764,0.10501919314265251,512.5762522220612,512.5789693556726,512.6417591236532,535.5557161383331,700.7792303338647,700.781072024256,1594.7799552232027,1594.788625370711
bursts_reference,k1-bursts_reference-000062,2520,1500,128,16,8,4,2,,,ok,,699.8033719137311,59.60158668458462,699.8339151032269,1599.826002959162,16,0.028023961931467056,0.0380990095436573,0.09567197412252426,510.22488716989756,510.22814912721515,510.31208084896207,534.6604259684682,699.8313958756626,699.8328501358628,1593.8551961444318,1593.861199915409
bursts_reference,k1-bursts_reference-000065,2520,1500,128,16,8,7,2,,,ok,,697.9658757336438,59.599340396622814,697.994917165488,1599.6371139772236,16,0.02604816108942032,0.03685196861624718,0.09757187217473984,511.03795086964965,511.0400109551847,511.08818501234055,532.8155728057027,697.9919238947332,697.9935527779162,1591.9820298440754,1591.988017782569
bursts_reference,k1-bursts_reference-000061,2520,1500,128,16,8,3,2,,,ok,,700.3488852642477,59.59972438092033,700.3774852491915,1603.4808713011444,16,0.026043038815259933,0.036576297134160995,0.0971122644841671,513.8579402118921,513.8603523373604,513.9199150726199,535.2234039455652,700.3749283030629,700.3762903623283,1594.3707940168679,1594.3753123283386
bursts_reference,k1-bursts_reference-000063,2520,1500,128,16,8,5,2,,,ok,,699.4477319531143,59.600732227166496,699.4748231954873,1603.8345750421286,16,0.024742912501096725,0.036253128200769424,0.09097717702388763,512.1075971983373,512.1094509959221,512.1574671939015,534.3549400568008,699.4724748656154,699.4737749919295,1593.4834582731128,1593.488687183708
bursts_reference,k1-bursts_reference-000064,2520,1500,128,16,8,6,2,,,ok,,698.5714477486908,59.60089759901166,698.6050517298281,1604.3433658778667,16,0.031242147088050842,0.04353886470198631,0.12046610936522484,510.74984204024076,510.7519207522273,510.8054028823972,533.5022159852087,698.6026898957789,698.6040049232543,1592.6161538809538,1592.6212328486145
bursts_reference,k1-bursts_reference-000066,2520,1500,1024,16,2,0,4,,,ok,,478.07725239545107,60.35766191780567,478.3069626428187,1385.519528761506,16,0.2228645607829094,0.2929265610873699,0.9304438717663288,394.16875690221786,394.172633998096,394.2652358673513,411.44104674458504,478.300116956234,478.30413468182087,1383.665045723319,1383.6737116798759
bursts_reference,k1-bursts_reference-000067,2520,1500,1024,16,2,1,4,,,ok,,535.8705129474401,60.119569270561136,535.9108760021627,1439.7137742489576,16,0.03625825047492981,0.05739787593483925,0.1390371471643448,392.0626388862729,392.0657690614462,392.13576214388013,408.2148582674563,535.9067711979151,535.9092000871897,1437.7003102563322,1437.7098861150444
bursts_reference,k1-bursts_reference-000068,2520,1500,1024,16,4,0,3,,,ok,,903.0208610929549,61.80236854900917,903.0782589688897,1832.8649387694895,16,0.05037570372223854,0.06948178634047508,0.18702493980526924,797.4481047131121,797.4512651562691,797.522306907922,822.4619789980352,903.0712367966771,903.0752670951188,1830.1067650318146,1830.1197127439082
