mono_s,power_w,sm_mhz,energy_mj
2510608.898,72.11,1050,56469176928
2510609.005,72.06,1020,56469184076
2510609.112,71.88,1005,56469191133
2510609.219,71.68,1035,56469198326
2510609.326,71.80,1020,56469205554
2510609.437,71.69,1050,56469212735
2510609.544,71.65,1050,56469219909
2510609.651,71.55,1050,56469227119
2510609.759,71.61,1050,56469234313
2510609.865,71.72,1035,56469248736
2510609.976,71.83,1005,56469255849
2510610.084,71.85,1035,56469262960
2510610.191,72.00,1050,56469270211
2510610.297,72.16,1035,56469277377
2510610.405,72.20,1020,56469284581
2510610.517,72.23,1050,56469291732
2510610.625,72.15,1050,56469298920
2510610.737,72.20,1050,56469306138
2510610.844,72.23,1050,56469313335
2510610.951,72.23,1050,56469320552
2510611.058,72.16,1020,56469327683
2510611.165,72.11,1035,56469342104
2510611.277,71.99,1020,56469349288
2510611.384,71.91,1020,56469356444
2510611.497,71.84,1035,56469363595
2510611.604,71.88,1035,56469370761
2510611.715,71.90,1020,56469378000
2510611.828,70.95,1050,56469384478
2510611.942,70.19,1050,56469390823
2510612.060,69.46,1050,56469403511
2510612.178,68.84,1050,56469409844
2510612.292,67.18,1050,56469416175
2510612.405,66.42,1050,56469422517
2510612.519,65.64,1050,56469428867
2510612.634,64.97,1050,56469435208
2510612.747,64.25,1050,56469441552
2510612.861,63.48,1050,56469454240
2510612.978,63.47,1050,56469460580
2510613.092,63.43,1050,56469466925
2510613.205,63.41,1050,56469473284
2510613.320,63.43,1050,56469479632
2510613.434,63.48,1050,56469485984
2510613.547,63.47,1050,56469492324
2510613.661,63.50,1050,56469505005
2510613.778,63.52,1050,56469511355
2510613.892,63.53,1050,56469517714
2510614.004,63.56,1050,56469524056
2510614.119,63.57,1050,56469530399
2510614.232,63.56,1050,56469536755
2510614.345,63.61,1050,56469543124
2510614.459,63.64,1050,56469555838
2510614.573,63.66,1050,56469562179
2510614.686,63.65,1050,56469568529
2510614.800,63.62,1050,56469574877
2510614.913,63.62,1050,56469581226
2510615.026,63.62,1050,56469587585
2510615.140,63.65,1050,56469593922
2510615.258,63.68,1050,56469606631
2510615.371,63.72,1050,56469612992
2510615.485,63.69,1050,56469619352
2510615.599,63.69,1050,56469625713
2510615.713,63.73,1050,56469632074
2510615.825,63.74,1050,56469638436
2510615.939,63.74,1050,56469644801
2510616.053,63.76,1050,56469651166
2510616.167,63.78,1050,56469663904
2510616.280,63.83,1050,56469670260
2510616.399,63.78,1050,56469676621
2510616.513,63.75,1050,56469683001
2510616.626,63.78,1050,56469689370
2510616.739,63.74,1050,56469695754
2510616.857,63.82,1050,56469708501
2510616.970,63.81,1050,56469714876
2510617.085,63.82,1050,56469721238
2510617.198,63.81,1050,56469727623
2510617.312,63.80,1050,56469734013
2510617.425,63.81,1050,56469740389
2510617.539,63.82,1050,56469746758
2510617.652,63.84,1050,56469753142
2510617.765,63.86,1050,56469765911
2510617.879,63.89,1050,56469772301
2510617.998,63.93,1050,56469778675
2510618.112,63.92,1050,56469785060
2510618.225,63.90,1050,56469791438
2510618.338,63.90,1050,56469797822
2510618.452,63.91,1050,56469804201
2510618.565,63.94,1050,56469816966
2510618.679,63.91,1050,56469823351
2510618.793,63.88,1050,56469829728
2510618.906,63.84,1050,56469836111
2510619.020,63.83,1050,56469842503
2510619.138,63.82,1050,56469848884
2510619.252,63.86,1050,56469855268
2510619.365,63.86,1050,56469868033
2510619.479,63.88,1050,56469874425
2510619.598,63.90,1050,56469880812
2510619.711,63.91,1050,56469887197
2510619.825,63.95,1050,56469893591
2510619.939,63.95,1050,56469899983
2510620.058,63.95,1050,56469912758
2510620.171,63.99,1050,56469919135
2510620.285,64.00,1050,56469925535
2510620.399,64.01,1050,56469931919
2510620.518,63.95,1050,56469938320
2510620.631,63.96,1050,56469944712
2510620.745,63.95,1050,56469951104
2510620.860,63.96,1050,56469963882
2510620.976,64.02,1050,56469970276
2510621.090,64.02,1050,56469976662
2510621.205,63.98,1050,56469983056
2510621.319,64.00,1050,56469989452
2510621.437,64.06,1050,56469995858
2510621.551,64.09,1050,56470002252
2510621.664,64.04,1050,56470015019
2510621.777,64.06,1050,56470021424
2510621.891,64.04,1050,56470027829
2510622.005,64.08,1050,56470034222
2510622.119,64.05,1050,56470040627
2510622.237,64.04,1050,56470047031
2510622.351,64.03,1050,56470053443
2510622.464,64.01,1050,56470066187
2510622.578,63.95,1050,56470072544
2510622.696,63.94,1050,56470078886
2510622.809,63.85,1050,56470085250
2510622.922,63.74,1050,56470091602
2510623.036,63.69,1050,56470097962
2510623.149,63.64,1050,56470104302
2510623.262,63.70,1050,56470117011
2510623.376,63.68,1050,56470123378
2510623.489,63.67,1050,56470129735
2510623.601,63.59,1050,56470136094
2510623.716,63.57,1050,56470142452
2510623.829,63.55,1050,56470148806
2510623.942,63.59,1050,56470155156
2510624.056,63.68,1050,56470167867
2510624.169,63.68,1050,56470174226
2510624.282,63.72,1050,56470180591
2510624.397,63.69,1050,56470186978
2510624.515,63.66,1050,56470193346
2510624.629,63.64,1050,56470199710
2510624.741,63.68,1050,56470206071
2510624.855,63.77,1050,56470218812
2510624.968,63.80,1050,56470225177
2510625.081,63.83,1050,56470231553
2510625.196,63.81,1050,56470237915
2510625.309,63.77,1050,56470244291
2510625.422,63.74,1050,56470250664
2510625.536,63.78,1050,56470257031
2510625.649,63.82,1050,56470263404
2510625.762,63.88,1050,56470276150
2510625.875,63.92,1050,56470282524
2510625.989,63.87,1050,56470288908
2510626.103,63.81,1050,56470295277
2510626.217,63.79,1050,56470301773
2510626.324,65.28,1050,56470308922
2510626.432,66.01,1050,56470316133
2510626.539,66.74,1050,56470323329
2510626.651,67.46,1050,56470330510
2510626.759,68.38,1050,56470345017
2510626.865,69.55,1050,56470352225
2510626.973,69.77,1035,56470359492
2510627.079,70.55,1005,56470366577
2510627.191,71.25,1005,56470373588
2510627.299,71.96,1050,56470380735
2510627.406,71.96,1035,56470387901
2510627.514,71.83,1050,56470395114
2510627.620,71.86,1050,56470402308
2510627.732,71.98,1050,56470409521
2510627.839,71.72,1050,56470416746
2510627.946,71.73,1020,56470424015
2510628.053,71.80,1005,56470438331
2510628.161,71.92,1035,56470445427
2510628.271,71.86,1020,56470452578
2510628.379,71.88,1020,56470459744
2510628.491,72.05,1050,56470466979
2510628.603,72.14,1050,56470473560
2510628.714,71.39,1050,56470479904
2510628.827,70.63,1050,56470486251
2510628.938,69.06,1050,56470492611
2510629.052,68.38,1050,56470505286
2510629.165,67.57,1050,56470511622
2510629.276,66.73,1050,56470517961
2510629.393,66.06,1050,56470524309
2510629.506,65.31,1050,56470530666
2510629.619,64.52,1050,56470537007
2510629.732,63.70,1050,56470543354
2510629.843,63.75,1050,56470549696
2510629.956,63.73,1050,56470562375
2510630.071,63.76,1050,56470568723
2510630.183,63.69,1050,56470575069
2510630.296,63.67,1050,56470581429
2510630.407,63.69,1050,56470587780
2510630.519,63.67,1050,56470594118
2510630.632,63.70,1050,56470600468
2510630.745,63.69,1050,56470606821
2510630.856,63.75,1050,56470619505
2510630.971,63.73,1050,56470625855
