gpu_type,phase,slo_ms,sample_idx,target,p_violate_oof,rho_phase_oof,actual_unsafe
l40s,prefill,200,90,p99_ttft,0.5081299553178494,1.5850855039420682,1
l40s,prefill,200,91,p99_ttft,0.3894167053840616,3.2120787372016855,1
l40s,prefill,200,92,p99_ttft,0.5977656396916061,0.20195970975378844,1
l40s,prefill,200,93,p99_ttft,0.984296459809858,0.5506095515994106,1
l40s,prefill,200,94,p99_ttft,0.995781275261483,0.9998231304096014,1
l40s,prefill,200,95,p99_ttft,0.9989017759674358,1.4923697455366394,1
l40s,prefill,200,96,p99_ttft,0.8814089840598139,0.6845014634708061,1
l40s,prefill,200,97,p99_ttft,0.8938133626447669,1.6488313273896171,1
l40s,prefill,200,98,p99_ttft,0.16533111417837046,1.9891878684497588,0
l40s,prefill,200,99,p99_ttft,0.47918995813501836,3.243624238112342,0
l40s,prefill,200,100,p99_ttft,0.7489463824827406,0.15533074686089438,0
l40s,prefill,200,101,p99_ttft,0.9578360738552835,0.46580353252170437,1
l40s,prefill,200,102,p99_ttft,0.9935048182718916,0.7805821020721376,1
l40s,prefill,200,103,p99_ttft,0.9986259706171943,1.0672536341697991,1
l40s,prefill,200,104,p99_ttft,0.525694652990885,0.46050110844817704,1
l40s,prefill,200,105,p99_ttft,0.8839743912374516,1.0374308185740235,0
l40s,prefill,200,106,p99_ttft,0.22939975260837614,1.6565551417473101,0
l40s,prefill,200,107,p99_ttft,0.4453117361591427,2.47432320856541,0
l40s,prefill,200,108,p99_ttft,0.09409751120617287,0.12221845233175531,0
l40s,prefill,200,109,p99_ttft,0.49440725100749666,0.32425274061186454,1
l40s,prefill,200,110,p99_ttft,0.9941805032976104,0.4899234743736218,1
l40s,prefill,200,111,p99_ttft,0.9969758790893603,0.6698495995518245,1
l40s,prefill,200,112,p99_ttft,0.7599020469283754,0.393997978090376,0
l40s,prefill,200,113,p99_ttft,0.5601808057830902,0.9391493678642631,0
l40s,prefill,200,114,p99_ttft,0.09436518657919464,1.3508876967365855,0
l40s,prefill,200,115,p99_ttft,0.07410562668940643,2.017761254041414,0
l40s,prefill,200,116,p99_ttft,0.01342235246308087,0.08475313703972712,0
l40s,prefill,200,117,p99_ttft,0.5105805934475364,0.1961448058010444,0
l40s,prefill,200,118,p99_ttft,0.9796805476574233,0.22114329463075857,1
l40s,prefill,200,119,p99_ttft,0.9899401621612633,0.25106187144058195,1
l40s,prefill,200,120,p99_ttft,0.3342504048578692,0.32169739337134984,0
l40s,prefill,200,121,p99_ttft,0.42542181407975943,0.8599290067972463,0
l40s,prefill,200,122,p99_ttft,0.06967097710184855,1.0162717815107927,0
l40s,prefill,200,123,p99_ttft,0.17728528348456818,1.3050295564748362,0
l40s,prefill,200,124,p99_ttft,0.014659838437431811,0.0709937746384433,0
l40s,prefill,200,125,p99_ttft,0.4818689849264843,0.15492788259589507,0
l40s,prefill,200,126,p99_ttft,0.9785000091318194,0.19607739087945583,1
l40s,prefill,200,127,p99_ttft,0.9919970139290207,0.21674423593500547,1
