unix_ns,monotonic_ns,window_id,request_id,attempt,event,http_status,detail
1785490330535024029,1115700578554428,baseline_3m,baseline_3m-00020-cc6f966e13b9,1,request_complete,200,
1785490330606753172,1115700650282937,baseline_3m,baseline_3m-00022-e686ad411dd5,1,response_headers,200,response_request_id=baseline_3m-00022-e686ad411dd5
1785490330752871108,1115700796400990,baseline_3m,baseline_3m-00022-e686ad411dd5,1,first_token,,
1785490331495824147,1115701539353919,baseline_3m,baseline_3m-00023-ba59c9226aec,0,client_ready,,
1785490331499002128,1115701542532116,baseline_3m,baseline_3m-00023-ba59c9226aec,0,semaphore_acquired,,
1785490331500606891,1115701544136529,baseline_3m,baseline_3m-00023-ba59c9226aec,1,attempt_send,,
1785490331570654977,1115701614185422,baseline_3m,baseline_3m-00021-b2d762ae3fd3,1,request_complete,200,
1785490331588808162,1115701632338040,baseline_3m,baseline_3m-00023-ba59c9226aec,1,response_headers,200,response_request_id=baseline_3m-00023-ba59c9226aec
1785490331734006582,1115701777536453,baseline_3m,baseline_3m-00023-ba59c9226aec,1,first_token,,
1785490332495970681,1115702539500730,baseline_3m,baseline_3m-00024-14f26df72414,0,client_ready,,
1785490332498859452,1115702542389534,baseline_3m,baseline_3m-00024-14f26df72414,0,semaphore_acquired,,
1785490332500435395,1115702543964948,baseline_3m,baseline_3m-00024-14f26df72414,1,attempt_send,,
1785490332553085823,1115702596616261,baseline_3m,baseline_3m-00022-e686ad411dd5,1,request_complete,200,
1785490332593895929,1115702637425696,baseline_3m,baseline_3m-00024-14f26df72414,1,response_headers,200,response_request_id=baseline_3m-00024-14f26df72414
1785490332771048377,1115702814578519,baseline_3m,baseline_3m-00024-14f26df72414,1,first_token,,
1785490333496121377,1115703539651415,baseline_3m,baseline_3m-00025-81e94f187a2a,0,client_ready,,
1785490333500095217,1115703543625144,baseline_3m,baseline_3m-00025-81e94f187a2a,0,semaphore_acquired,,
1785490333501994016,1115703545524135,baseline_3m,baseline_3m-00025-81e94f187a2a,1,attempt_send,,
1785490333530767453,1115703574297791,baseline_3m,baseline_3m-00023-ba59c9226aec,1,request_complete,200,
1785490333584929983,1115703628459755,baseline_3m,baseline_3m-00025-81e94f187a2a,1,response_headers,200,response_request_id=baseline_3m-00025-81e94f187a2a
1785490333751096820,1115703794626645,baseline_3m,baseline_3m-00025-81e94f187a2a,1,first_token,,
1785490334495691691,1115704539221521,baseline_3m,baseline_3m-00026-3d3449d3355b,0,client_ready,,
1785490334499235229,1115704542765351,baseline_3m,baseline_3m-00026-3d3449d3355b,0,semaphore_acquired,,
1785490334501274234,1115704544804103,baseline_3m,baseline_3m-00026-3d3449d3355b,1,attempt_send,,
1785490334570423758,1115704613954353,baseline_3m,baseline_3m-00024-14f26df72414,1,request_complete,200,
1785490334589967595,1115704633497510,baseline_3m,baseline_3m-00026-3d3449d3355b,1,response_headers,200,response_request_id=baseline_3m-00026-3d3449d3355b
1785490334731878449,1115704775408308,baseline_3m,baseline_3m-00026-3d3449d3355b,1,first_token,,
1785490335495931700,1115705539461825,baseline_3m,baseline_3m-00027-999a10783eca,0,client_ready,,
1785490335500075848,1115705543605937,baseline_3m,baseline_3m-00027-999a10783eca,0,semaphore_acquired,,
1785490335502815935,1115705546345902,baseline_3m,baseline_3m-00027-999a10783eca,1,attempt_send,,
1785490335555037803,1115705598568338,baseline_3m,baseline_3m-00025-81e94f187a2a,1,request_complete,200,
1785490335607558145,1115705651087915,baseline_3m,baseline_3m-00027-999a10783eca,1,response_headers,200,response_request_id=baseline_3m-00027-999a10783eca
1785490335769802237,1115705813331939,baseline_3m,baseline_3m-00027-999a10783eca,1,first_token,,
1785490336496019400,1115706539549235,baseline_3m,baseline_3m-00028-6e121e3dd762,0,client_ready,,
1785490336499685302,1115706543215277,baseline_3m,baseline_3m-00028-6e121e3dd762,0,semaphore_acquired,,
1785490336502535110,1115706546065197,baseline_3m,baseline_3m-00028-6e121e3dd762,1,attempt_send,,
1785490336531597965,1115706575128370,baseline_3m,baseline_3m-00026-3d3449d3355b,1,request_complete,200,
1785490336578699007,1115706622228829,baseline_3m,baseline_3m-00028-6e121e3dd762,1,response_headers,200,response_request_id=baseline_3m-00028-6e121e3dd762
1785490336748747276,1115706792277117,baseline_3m,baseline_3m-00028-6e121e3dd762,1,first_token,,
1785490337496256359,1115707539786090,baseline_3m,baseline_3m-00029-395556660c4a,0,client_ready,,
1785490337500167758,1115707543697903,baseline_3m,baseline_3m-00029-395556660c4a,0,semaphore_acquired,,
1785490337503123993,1115707546653939,baseline_3m,baseline_3m-00029-395556660c4a,1,attempt_send,,
1785490337573151419,1115707616682037,baseline_3m,baseline_3m-00027-999a10783eca,1,request_complete,200,
1785490337608649527,1115707652179314,baseline_3m,baseline_3m-00029-395556660c4a,1,response_headers,200,response_request_id=baseline_3m-00029-395556660c4a
1785490337786216707,1115707829746580,baseline_3m,baseline_3m-00029-395556660c4a,1,first_token,,
1785490338495916956,1115708539446701,baseline_3m,baseline_3m-00030-6a9522577a73,0,client_ready,,
