phase,freq_mhz,input_len,burst_size,rep,send_mono_s,status,error,ttft_ms,tpot_ms,tokens,latency_ms,rank,burst_energy_j,burst_duration_ms
bursts_k1,2520,2048,4,4,1867819.632378003,ok,,317.6979299169034,,1,317.7404359448701,0,202.17,620.7716059871018
bursts_k1,2520,2048,4,4,1867819.632904135,ok,,316.9873501174152,,1,317.06285616382957,1,202.17,620.7716059871018
bursts_k1,2520,2048,4,4,1867819.633327797,ok,,619.586604880169,,1,619.6276168338954,2,202.17,620.7716059871018
bursts_k1,2520,2048,4,4,1867819.633709644,ok,,619.0531880129129,,1,619.1213440615684,3,202.17,620.7716059871018
bursts_k1,2520,1024,8,3,1867820.784754074,ok,,97.29880094528198,,1,97.37431001849473,0,223.174,612.9414571914822
bursts_k1,2520,1024,8,3,1867820.785193464,ok,,393.18834408186376,,1,393.22796394117177,1,223.174,612.9414571914822
bursts_k1,2520,1024,8,3,1867820.78547671,ok,,392.9979931563139,,1,393.02778616547585,2,223.174,612.9414571914822
bursts_k1,2520,1024,8,3,1867820.785722758,ok,,392.8270919714123,,1,392.85783912055194,3,223.174,612.9414571914822
bursts_k1,2520,1024,8,3,1867820.785956108,ok,,392.2773639205843,,1,392.3441239167005,4,223.174,612.9414571914822
bursts_k1,2520,1024,8,3,1867820.786203338,ok,,611.2491209059954,,1,611.2805709708482,5,223.174,612.9414571914822
bursts_k1,2520,1024,8,3,1867820.786435156,ok,,610.781260067597,,1,610.8487490564585,6,223.174,612.9414571914822
bursts_k1,2520,1024,8,3,1867820.786669054,ok,,610.6960228644311,,1,610.7340489979833,7,223.174,612.9414571914822
bursts_k1,2520,128,1,4,1867821.925612962,ok,,36.36575490236282,,1,36.455346969887614,0,0.0,36.6717679426074
bursts_k1,2520,128,8,2,1867822.480779939,ok,,46.46724299527705,,1,46.537673799321055,0,39.786,114.65958296321332
bursts_k1,2520,128,8,2,1867822.481160748,ok,,113.92208887264132,,1,113.96302399225533,1,39.786,114.65958296321332
bursts_k1,2520,128,8,2,1867822.481407153,ok,,113.1666679866612,,1,113.20285405963659,2,39.786,114.65958296321332
bursts_k1,2520,128,8,2,1867822.481610808,ok,,113.1250150501728,,1,113.15439199097455,3,39.786,114.65958296321332
bursts_k1,2520,128,8,2,1867822.481803516,ok,,112.62515909038484,,1,112.69188905134797,4,39.786,114.65958296321332
bursts_k1,2520,128,8,2,1867822.48198091,ok,,113.19817905314267,,1,113.22932504117489,5,39.786,114.65958296321332
bursts_k1,2520,128,8,2,1867822.482131271,ok,,112.67328704707325,,1,112.70357412286103,6,39.786,114.65958296321332
bursts_k1,2520,128,8,2,1867822.482278417,ok,,112.38196399062872,,1,112.41160286590457,7,39.786,114.65958296321332
bursts_k1,2520,1024,1,0,1867823.12553467,ok,,84.86087108030915,,1,85.05878504365683,0,27.301,85.45710099861026
bursts_k1,2520,128,2,4,1867823.730786853,ok,,39.25444791093469,,1,39.32470898143947,0,19.634,63.587987096980214
bursts_k1,2520,128,2,4,1867823.732081168,ok,,61.88311683945358,,1,61.96944089606404,1,19.634,63.587987096980214
bursts_k1,2520,1024,8,0,1867824.322181594,ok,,96.41127288341522,,1,96.48289089091122,0,202.824,607.3320729192346
bursts_k1,2520,1024,8,0,1867824.322659722,ok,,391.52242382988334,,1,391.55126200057566,1,202.824,607.3320729192346
bursts_k1,2520,1024,8,0,1867824.322990298,ok,,390.78400400467217,,1,390.8511840272695,2,202.824,607.3320729192346
bursts_k1,2520,1024,8,0,1867824.323240654,ok,,390.7101438380778,,1,390.7493189908564,3,202.824,607.3320729192346
bursts_k1,2520,1024,8,0,1867824.323468977,ok,,390.63472812995315,,1,390.66698821261525,4,202.824,607.3320729192346
bursts_k1,2520,1024,8,0,1867824.323700702,ok,,605.3318828344345,,1,605.3990779910237,5,202.824,607.3320729192346
