request_id,workload_id,input_len,requested_output_len,observed_output_tokens,prefill_endpoint_id,decode_endpoint_id,ttft_ms,tpot_ms,client_observed_ttft_ms,client_observed_tpot_ms,mean_itl_ms,e2e_latency_ms,prefill_latency_ms,decode_stream_latency_ms,real_sse,logical_request_id_propagated
phase3c-xpyd_power_compare_optimized_256656-0028,small_light,128,64,64,P1,D1,206.14656002726406,57.159043586118116,215.42741102166474,57.16235062018747,57.15802949224968,3816.655500093475,128.9134909166023,3677.9745819512755,True,True
phase3c-xpyd_power_compare_optimized_256656-0029,small_light,128,64,64,P1,D1,207.04519096761942,57.158565826876654,216.158622992225,57.1636274763723,57.15173865217597,3817.4671540036798,130.26264996733516,3677.496956079267,True,True
phase3c-xpyd_power_compare_optimized_256656-0030,small_light,128,64,64,P1,D1,208.56875204481184,57.16062344366773,217.59468293748796,57.16553314345047,57.16110731748539,3819.023270974867,131.0008290456608,3678.4104799153283,True,True
phase3c-xpyd_power_compare_optimized_256656-0031,small_light,128,64,64,P1,D1,211.12143306527287,57.15659593549808,223.14922499936074,57.159386285107644,57.15500587220525,3824.190560961142,132.74507992900908,3678.577843005769,True,True
phase3c-xpyd_power_compare_optimized_256656-0032,small_light,128,64,64,P1,D1,205.93273791018873,57.159146079645744,214.47894000448287,57.16349181002154,57.15863882667489,3815.7789240358397,128.715923987329,3677.9594420222566,True,True
phase3c-xpyd_power_compare_optimized_256656-0033,small_light,128,64,64,P1,D1,209.39250197261572,57.15905966621543,217.6817860454321,57.161828650841635,57.15759677649845,3818.8769910484552,131.29851000849158,3678.828318952583,True,True
phase3c-xpyd_power_compare_optimized_256656-0034,small_light,128,64,64,P1,D1,205.07066091522574,57.151996667334245,213.63635594025254,57.15515200115208,57.15032292175151,3814.4109320128337,127.66202201601118,3677.6715320302173,True,True
phase3c-xpyd_power_compare_optimized_256656-0035,small_light,128,64,64,P1,D1,207.79781707096845,57.15944433200454,214.14444595575333,57.16473153895802,57.159542460881525,3815.5225329101086,130.21273899357766,3678.3584270160645,True,True
phase3c-xpyd_power_compare_optimized_256656-0036,small_light,128,64,64,P1,D1,209.17186595033854,57.15253988894383,218.563050031662,57.15585438098522,57.150915270626896,3819.381876033731,131.8047399399802,3677.6860719546676,True,True
phase3c-xpyd_power_compare_optimized_256656-0037,small_light,128,64,64,P1,D1,207.63346005696803,57.15789836424861,216.2724219961092,57.16202179309985,57.15776655438637,3817.4797949614003,129.4746519997716,3678.780765971169,True,True
phase3c-xpyd_power_compare_optimized_256656-0038,small_light,128,64,64,P1,D1,208.30447995103896,57.1575802381313,216.87341202050447,57.16076606352414,57.15653012757973,3818.0016740225255,130.61543996445835,3678.330115042627,True,True
phase3c-xpyd_power_compare_optimized_256656-0039,small_light,128,64,64,P1,D1,207.50271202996373,57.157440999862814,215.23733902722597,57.16090027006373,57.15591319104923,3816.3740560412407,129.92121407296509,3678.155620000325,True,True
phase3c-xpyd_power_compare_optimized_256656-0040,small_light,128,64,64,P1,D1,207.7526010107249,57.15861365139958,216.0656409105286,57.162110128306914,57.157659794144806,3817.2785789938644,130.0449810223654,3678.381397970952,True,True
phase3c-xpyd_power_compare_optimized_256656-0041,small_light,128,64,64,P1,D1,205.39008593186736,57.15444388925024,212.99791091587394,57.15679247597499,57.15230633393817,3813.875836902298,128.07755602989346,3677.782368962653,True,True
phase3c-xpyd_power_compare_optimized_256656-0042,small_light,128,64,64,P1,D1,207.10191398393363,57.1597564932225,216.15882101468742,57.163446348914434,57.159103015215976,3817.4559409962967,129.29256400093436,3678.580960026011,True,True
phase3c-xpyd_power_compare_optimized_256656-0043,small_light,128,64,64,P1,D1,206.04195294436067,57.15244831812997,215.49136308021843,57.156378253629164,57.15151669804953,3816.343193058856,128.22634109761566,3678.129717009142,True,True
phase3c-xpyd_power_compare_optimized_256656-0044,small_light,128,64,64,P1,D1,207.41110702510923,57.15655895238299,215.58585099410266,57.16714957204189,57.155691318228726,3817.116274032742,129.6428970526904,3678.354538977146,True,True
