path	size_bytes	mtime_unix_s
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/002-small_light-baseline_high-r01/summary.md	973	1788168548.902861
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/002-small_light-baseline_high-r01/D0/capability.json	903	1788168483.135884
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/002-small_light-baseline_high-r01/D0/monitor.log	0	1788168482.921885
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/002-small_light-baseline_high-r01/D0/samples.jsonl	357235	1788168548.701861
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/002-small_light-baseline_high-r01/D0/stop.requested	5	1788168548.680861
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/002-small_light-baseline_high-r01/D0/raw_metrics/000001_before.prom	88054	1788168514.030874
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/002-small_light-baseline_high-r01/D0/raw_metrics/000002_periodic.prom	88041	1788168514.272873
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/002-small_light-baseline_high-r01/D0/raw_metrics/000003_periodic.prom	88041	1788168515.282873
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/002-small_light-baseline_high-r01/D0/raw_metrics/000004_periodic.prom	88041	1788168516.262873
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/002-small_light-baseline_high-r01/D0/raw_metrics/000005_periodic.prom	88041	1788168517.245872
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/002-small_light-baseline_high-r01/D0/raw_metrics/000006_periodic.prom	88058	1788168518.196872
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/002-small_light-baseline_high-r01/D0/raw_metrics/000007_periodic.prom	88058	1788168519.243872
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/002-small_light-baseline_high-r01/D0/raw_metrics/000008_periodic.prom	88058	1788168520.280871
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/002-small_light-baseline_high-r01/D0/raw_metrics/000009_periodic.prom	88058	1788168521.263871
