step,gpu_type,gpu_freq_mhz,mem_freq_mhz,tp_degree,input_len,output_len,request_rate,run,num_prompts,benchmark_duration_s,request_throughput_rps,output_token_throughput_tps,total_token_throughput_tps,mean_ttft_ms,median_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,p99_tpot_ms,mean_itl_ms,median_itl_ms,p99_itl_ms,avg_power_w,min_power_w,max_power_w,energy_j,avg_gpu_util_pct,avg_mem_util_pct,monitor_samples
step2a,L40S,2520,9001,1,128,1024,1,3,500,524.40,0.95,976.36,1097.45,83.73,82.21,101.42,25.94,26.20,26.68,25.94,26.06,29.96,316.32,87.32,351.20,0,96.8,0.0,9823
step2a,L40S,2520,9001,1,128,1024,10,1,500,201.77,2.48,2537.54,2852.26,144.08,153.29,199.77,46.47,47.71,47.93,46.47,46.91,60.39,316.51,87.54,361.30,0,87.8,0.0,4274
step2a,L40S,2520,9001,1,128,1024,10,2,500,202.09,2.47,2533.48,2847.69,144.28,153.36,194.85,46.55,47.86,47.97,46.55,47.06,60.33,318.99,86.31,361.12,0,88.8,0.0,4230
step2a,L40S,2520,9001,1,128,1024,10,3,500,201.69,2.48,2538.60,2853.44,144.11,153.86,202.01,46.45,47.71,47.92,46.45,46.82,60.02,317.41,86.22,357.86,0,88.2,0.0,4252
step2a,L40S,2520,9001,1,128,1024,50,1,500,229.14,2.18,2234.45,2511.58,896.20,225.41,9849.45,102.98,100.18,123.27,102.98,81.04,257.99,319.98,87.17,355.69,0,89.2,0.0,4729
step2a,L40S,2520,9001,1,128,1024,50,2,500,229.08,2.18,2235.00,2512.19,896.08,226.48,9914.33,102.97,100.20,123.25,102.97,80.76,260.40,322.22,86.83,352.74,0,90.0,0.0,4689
step2a,L40S,2520,9001,1,128,1024,50,3,500,229.07,2.18,2235.09,2512.29,880.57,230.99,9348.14,102.97,100.04,123.26,102.97,80.75,260.73,322.33,88.12,353.69,0,90.1,0.0,4684
step2a,L40S,2520,9001,1,512,32,1,1,500,500.70,1.00,31.96,542.24,72.13,75.13,113.33,21.10,20.95,23.24,21.10,20.65,39.51,173.49,82.82,290.57,0,46.2,0.0,9521
step2a,L40S,2520,9001,1,512,32,1,2,500,500.71,1.00,31.95,542.24,75.10,69.89,112.69,21.11,20.97,23.27,21.11,20.76,38.21,172.24,81.97,298.90,0,46.0,0.0,9541
step2a,L40S,2520,9001,1,512,32,1,3,500,500.71,1.00,31.95,542.23,75.14,73.47,112.26,21.11,20.96,23.23,21.11,20.75,38.19,172.27,81.17,292.04,0,45.6,0.0,9538
step2a,L40S,2520,9001,1,512,32,10,1,500,50.80,9.84,314.94,5344.20,129.75,116.95,287.94,30.49,29.46,45.24,30.49,23.42,88.64,230.81,82.24,355.28,0,61.5,0.0,1333
step2a,L40S,2520,9001,1,512,32,10,2,500,50.81,9.84,314.89,5343.23,132.40,119.52,293.78,30.77,29.45,45.46,30.77,23.41,90.48,246.51,84.54,354.93,0,65.9,0.0,1229
step2a,L40S,2520,9001,1,512,32,10,3,500,50.81,9.84,314.92,5343.80,132.85,119.33,288.56,30.99,29.68,48.41,30.99,23.37,92.23,243.72,84.05,354.59,0,65.3,0.0,1237
step2a,L40S,2520,9001,1,512,32,50,1,500,22.20,22.52,720.77,12230.50,4315.88,5632.30,5970.34,148.21,164.75,165.88,148.21,164.87,171.04,225.93,85.61,352.84,0,27.4,0.0,762
step2a,L40S,2520,9001,1,512,32,50,2,500,22.22,22.51,720.18,12220.52,4318.92,5643.91,5975.17,148.40,164.94,166.06,148.40,165.10,168.89,255.87,85.22,355.02,0,33.5,0.0,626
