request_id,selected_prefill_endpoint_id,selected_decode_endpoint_id,route_timestamp_wall_s,prefill_completion_wall_s,kv_handoff_completion_wall_s,decode_start_wall_s,decode_completion_wall_s,outcome
phase3c-xpyd_feedback_table_2p2d_255386-0093,P1,D1,1788285405.8016074,1788285406.3044775,1788285406.3044796,1788285406.3045714,1788285410.5480113,completed
phase3c-xpyd_feedback_table_2p2d_255386-0094,P1,D1,1788285430.7997577,1788285430.918145,1788285430.918147,1788285430.91824,1788285438.4638915,completed
phase3c-xpyd_feedback_table_2p2d_255386-0095,P1,D1,1788285455.785236,1788285455.9374459,1788285455.9374487,1788285455.9375458,1788285471.0742316,completed
phase3c-xpyd_feedback_table_2p2d_255386-0096,P1,D1,1788285480.7801387,1788285480.952156,1788285480.9521585,1788285480.952251,1788285488.6840937,completed
phase3c-xpyd_feedback_table_2p2d_255386-0097,P1,D1,1788285505.7985044,1788285506.3379157,1788285506.3379185,1788285506.338018,1788285523.2712388,completed
phase3c-xpyd_feedback_table_2p2d_255386-0098,P1,D1,1788285530.7870574,1788285530.91208,1788285530.9120824,1788285530.912174,1788285534.6935887,completed
phase3c-xpyd_feedback_table_2p2d_255386-0099,P1,D1,1788285555.8005178,1788285556.111579,1788285556.1115813,1788285556.1117263,1788285560.1198251,completed
phase3c-xpyd_feedback_table_2p2d_255386-0100,P1,D1,1788285580.7999444,1788285581.3331974,1788285581.3331995,1788285581.3332903,1788285585.577046,completed
phase3c-xpyd_feedback_table_2p2d_255386-0101,P1,D1,1788285605.7997625,1788285605.9300804,1788285605.9300828,1788285605.9301724,1788285613.475536,completed
phase3c-xpyd_feedback_table_2p2d_255386-0102,P1,D1,1788285630.7838318,1788285630.9162273,1788285630.9162297,1788285630.9163175,1788285646.0502217,completed
phase3c-xpyd_feedback_table_2p2d_255386-0103,P1,D1,1788285655.7894514,1788285655.9727266,1788285655.9727304,1788285655.9729095,1788285663.7060144,completed
phase3c-xpyd_feedback_table_2p2d_255386-0104,P1,D1,1788285680.7971547,1788285681.3284948,1788285681.3284974,1788285681.3286026,1788285698.2613459,completed
phase3c-xpyd_feedback_table_2p2d_255386-0105,P1,D1,1788285705.7873979,1788285705.9084473,1788285705.9084492,1788285705.9085383,1788285709.6889687,completed
phase3c-xpyd_feedback_table_2p2d_255386-0106,P1,D1,1788285730.801624,1788285731.1117783,1788285731.111781,1788285731.1118708,1788285735.1180482,completed
phase3c-xpyd_feedback_table_2p2d_255386-0107,P1,D1,1788285755.8002353,1788285756.33273,1788285756.3327327,1788285756.3328223,1788285760.5773327,completed
phase3c-xpyd_feedback_table_2p2d_255386-0108,P1,D1,1788285780.7999084,1788285780.9180684,1788285780.918071,1788285780.9181619,1788285788.464301,completed
phase3c-xpyd_feedback_table_2p2d_255386-0109,P1,D1,1788285805.7969446,1788285805.9135706,1788285805.9135725,1788285805.913652,1788285821.0474632,completed
phase3c-xpyd_feedback_table_2p2d_255386-0110,P1,D1,1788285830.7895415,1788285830.9588208,1788285830.958825,1788285830.959001,1788285838.6922963,completed
phase3c-xpyd_feedback_table_2p2d_255386-0111,P1,D1,1788285855.7988389,1788285856.3291702,1788285856.3291721,1788285856.3292615,1788285873.259834,completed
